Region,Region #,% 5+ A*-C,% 5+ A*-C inc Eng & Maths GCSE,% 5+ A*-G,% 5+ A*-G inc Eng & Maths GCSE,GCSE or Equv. Maths & English % entered,GCSE or Equv. Maths & English A*-C % achieved,% 5+ A*-G excl Eng & Maths GCSE,% 5+ A*-C excl Eng & Maths GCSE,IMD - Average score,IMD - Extent,Income - Average score,Employment - Average score,"Education, Skills and Training - Average score",Health Deprivation and Disability - Average score,Crime - Average score,Barriers to Housing and Services - Average score,Living Environment - Average score
County Durham,E06000047,65.1,55.1,93.3,91.1,95.6,57.6,2.200000000000003,9.999999999999993,25.741,0.2646,0.178,0.168,23.093,0.766,-0.172,17.605,6.077
Darlington,E06000005,62.2,52.5,93.6,90.2,95.5,55.9,3.3999999999999915,9.700000000000003,23.639,0.2438,0.168,0.15,22.569,0.502,0.224,12.346,10.71
Gateshead,E08000037,67.6,58.1,92.6,90.1,95.4,60.2,2.5,9.499999999999993,25.932,0.2735,0.185,0.165,26.145,0.779,-0.301,18.009,8.557
Hartlepool,E06000001,63.7,53.4,94.0,90.8,95.7,55.8,3.200000000000003,10.300000000000004,33.178,0.4589,0.239,0.211,30.51,0.929,0.078,13.128,8.26
Middlesbrough,E06000002,60.5,46.1,92.0,88.6,93.3,48.1,3.4000000000000057,14.399999999999999,40.216,0.5604,0.268,0.216,40.64,1.195,0.633,18.316,12.907
Newcastle upon Tyne,E08000021,62.9,55.7,91.7,88.9,92.4,59.1,2.799999999999997,7.199999999999996,28.264,0.3496,0.194,0.148,29.577,0.777,-0.056,18.448,13.11
North Tyneside,E08000022,72.0,62.0,96.1,94.2,96.6,64.1,1.8999999999999915,10.0,21.279,0.2001,0.163,0.143,20.475,0.538,-0.68,15.174,9.515
Northumberland,E06000057,65.0,56.9,94.0,92.2,96.2,59.6,1.7999999999999972,8.100000000000001,20.525,0.1782,0.137,0.134,22.143,0.16,-0.804,23.816,11.249
Redcar and Cleveland,E06000003,62.7,54.3,93.3,89.8,95.8,57.0,3.5,8.400000000000006,28.567,0.3394,0.204,0.186,27.875,0.752,-0.013,12.863,7.923
South Tyneside,E08000023,66.1,57.7,95.8,94.3,97.1,60.5,1.5,8.399999999999991,30.608,0.4319,0.223,0.198,25.745,0.944,-0.254,21.056,7.355
Stockton-on-Tees,E06000004,69.8,59.3,94.0,90.7,95.0,61.4,3.299999999999997,10.5,24.625,0.2799,0.177,0.156,24.637,0.548,-0.263,17.844,7.068
Sunderland,E08000024,59.8,50.3,94.1,90.7,96.6,52.8,3.3999999999999915,9.5,29.725,0.3725,0.21,0.185,30.314,1.007,-0.215,15.516,7.289
Blackburn with Darwen,E06000008,65.2,56.9,94.6,92.3,96.1,59.5,2.299999999999997,8.300000000000004,34.189,0.5001,0.215,0.18,34.903,1.022,0.484,12.478,30.637
Blackpool,E06000009,50.7,42.4,92.7,87.5,95.3,45.1,5.200000000000003,8.300000000000004,41.997,0.5075,0.257,0.228,35.579,1.489,0.831,8.343,37.918
Bolton,E08000001,66.6,56.8,93.9,91.0,97.1,58.5,2.9000000000000057,9.799999999999997,28.42,0.3775,0.19,0.16,25.376,0.672,0.22,18.117,24.352
Bury,E08000002,68.7,55.3,97.0,94.7,97.9,57.2,2.299999999999997,13.400000000000006,21.769,0.1976,0.153,0.14,16.915,0.378,0.016,13.967,22.389
Cheshire East,E06000049,72.4,63.3,96.4,95.1,98.6,64.8,1.3000000000000114,9.100000000000009,14.132,0.0851,0.094,0.088,13.47,-0.266,-0.424,18.533,20.496
Cheshire West and Chester,E06000050,69.7,58.3,94.9,91.6,95.6,60.6,3.3000000000000114,11.400000000000006,18.086,0.1571,0.122,0.114,18.993,0.063,-0.239,16.785,16.861
Cumbria,E10000006,66.0,56.8,94.9,93.4,96.8,59.0,1.5,9.200000000000003,21.331,0.1615,0.119,0.119,23.13,0.265,-0.517,19.889,28.799
Halton,E06000006,68.7,56.9,93.2,91.5,95.9,58.4,1.7000000000000028,11.800000000000004,31.943,0.4494,0.201,0.179,27.276,0.964,0.331,18.737,20.815
Knowsley,E08000011,45.8,37.4,85.0,81.6,90.3,39.5,3.4000000000000057,8.399999999999999,41.387,0.5737,0.276,0.233,40.411,1.4,0.129,17.13,21.934
Lancashire,E10000017,67.4,58.8,94.1,92.3,96.7,61.0,1.7999999999999972,8.600000000000009,22.495,0.2219,0.141,0.126,20.125,0.493,-0.03,14.379,26.072
Liverpool,E08000012,58.3,48.6,91.7,88.3,94.2,51.4,3.4000000000000057,9.699999999999996,41.126,0.5937,0.256,0.207,32.681,1.413,0.467,14.725,37.595
Manchester,E08000003,59.3,47.5,90.7,87.1,94.1,49.1,3.6000000000000085,11.799999999999997,40.512,0.5938,0.242,0.167,31.595,1.422,0.815,25.879,34.279
Oldham,E08000004,60.2,50.5,91.5,87.6,94.7,52.4,3.9000000000000057,9.700000000000003,30.291,0.4062,0.206,0.17,32.97,0.72,0.371,12.013,21.011
Rochdale,E08000005,61.9,48.4,93.5,83.8,89.1,50.2,9.700000000000003,13.5,33.684,0.4473,0.216,0.185,31.557,0.94,0.575,20.156,19.184
Salford,E08000006,60.1,48.0,92.7,85.3,91.7,49.9,7.400000000000006,12.100000000000001,32.959,0.4339,0.212,0.173,28.931,1.124,0.257,18.872,23.401
Sefton,E08000014,68.8,54.9,94.3,91.6,95.9,56.5,2.700000000000003,13.899999999999999,25.732,0.2735,0.176,0.169,19.604,0.691,-0.145,9.68,23.834
St. Helens,E08000013,65.1,54.7,92.3,90.0,96.5,56.5,2.299999999999997,10.399999999999991,29.809,0.3729,0.196,0.183,24.664,0.998,0.049,15.07,19.673
Stockport,E08000007,71.9,58.3,95.0,91.2,95.2,59.0,3.799999999999997,13.600000000000009,19.108,0.1486,0.128,0.117,17.491,0.365,0.142,11.762,17.651
Tameside,E08000008,65.1,57.3,92.7,90.2,95.3,60.1,2.5,7.799999999999997,29.38,0.3631,0.188,0.166,27.805,0.942,0.35,13.003,23.669
Trafford,E08000009,78.5,70.7,96.8,95.4,97.5,71.5,1.3999999999999915,7.799999999999997,15.388,0.1021,0.12,0.107,11.154,0.004,-0.352,13.66,18.301
Warrington,E06000007,66.1,58.5,95.0,93.1,97.5,61.9,1.9000000000000057,7.599999999999994,19.312,0.1849,0.122,0.115,18.643,0.352,-0.124,16.196,19.707
Wigan,E08000010,68.8,57.6,95.5,92.9,97.1,59.3,2.5999999999999943,11.199999999999996,24.857,0.2814,0.163,0.156,26.699,0.653,-0.008,14.167,13.808
Wirral,E08000015,72.5,61.8,93.8,91.7,96.5,63.2,2.0999999999999943,10.700000000000003,26.892,0.3074,0.187,0.173,20.106,0.818,-0.247,11.075,21.872
Barnsley,E08000016,57.9,49.4,93.1,90.3,97.1,52.2,2.799999999999997,8.5,29.568,0.3662,0.188,0.181,37.762,0.832,0.135,10.889,12.024
Bradford,E08000032,54.6,45.5,91.0,86.3,94.3,47.8,4.700000000000003,9.100000000000001,33.168,0.4498,0.205,0.162,36.121,0.636,0.53,18.484,35.715
Calderdale,E08000033,70.6,61.8,95.5,93.6,97.5,63.7,1.9000000000000057,8.799999999999997,24.607,0.2505,0.164,0.14,21.047,0.293,0.188,14.472,34.7
Doncaster,E08000017,59.2,50.0,93.0,90.9,95.3,52.9,2.0999999999999943,9.200000000000003,29.051,0.3569,0.186,0.167,35.244,0.593,0.43,13.318,18.966
East Riding of Yorkshire,E06000011,66.5,56.3,95.4,93.1,97.2,58.2,2.3000000000000114,10.200000000000003,15.792,0.0916,0.109,0.103,18.208,-0.461,-0.56,21.465,16.93
"Kingston upon Hull, City of",E06000010,55.1,46.7,93.0,88.5,95.5,49.0,4.5,8.399999999999999,41.235,0.5423,0.257,0.202,44.134,0.7,0.808,23.165,34.709
Kirklees,E08000034,65.5,56.8,95.5,93.0,97.4,58.9,2.5,8.700000000000003,23.964,0.2514,0.156,0.134,24.717,0.204,0.121,19.763,30.646
Leeds,E08000035,63.1,55.5,91.5,88.9,95.9,57.7,2.5999999999999943,7.600000000000001,26.623,0.3135,0.16,0.128,26.477,0.435,0.303,19.849,31.862
North East Lincolnshire,E06000012,60.4,52.1,93.9,91.7,96.1,53.8,2.200000000000003,8.299999999999997,30.898,0.3805,0.204,0.167,36.452,0.207,0.575,16.222,27.635
North Lincolnshire,E06000013,62.9,57.6,93.6,92.6,96.4,61.7,1.0,5.299999999999997,21.363,0.1874,0.15,0.129,25.953,0.143,-0.001,16.1,15.35
North Yorkshire,E10000023,70.6,62.4,95.2,93.8,96.9,64.9,1.4000000000000057,8.199999999999996,14.646,0.0563,0.092,0.085,16.07,-0.505,-0.747,24.044,23.275
Rotherham,E08000018,64.6,55.2,93.3,90.1,95.3,57.9,3.200000000000003,9.399999999999991,28.279,0.3231,0.187,0.168,33.895,0.642,0.248,14.611,13.054
Sheffield,E08000019,63.7,54.0,92.6,90.4,95.7,55.7,2.1999999999999886,9.700000000000003,27.568,0.343,0.173,0.136,31.263,0.397,0.222,23.6,20.51
Wakefield,E08000036,68.3,59.8,94.4,92.8,96.9,61.8,1.6000000000000085,8.5,26.892,0.3081,0.166,0.159,34.202,0.655,0.118,16.169,15.659
York,E06000014,73.4,63.7,96.6,95.1,97.5,64.8,1.5,9.700000000000003,12.219,0.0591,0.086,0.072,13.596,-0.494,-0.412,17.942,20.095
Derby,E06000015,55.9,47.6,91.6,89.0,95.6,50.5,2.5999999999999943,8.299999999999997,27.79,0.3365,0.181,0.143,29.392,0.42,0.326,18.705,29.666
Derbyshire,E10000007,64.6,55.9,94.9,91.9,95.8,58.7,3.0,8.699999999999996,18.515,0.1251,0.126,0.117,22.401,0.033,-0.34,16.575,18.465
Leicester,E06000016,59.1,50.4,91.6,88.7,94.1,53.0,2.8999999999999915,8.700000000000003,33.065,0.4175,0.221,0.153,38.007,0.554,0.55,17.932,34.567
Leicestershire,E10000018,66.9,56.8,95.3,94.0,97.5,59.1,1.2999999999999972,10.100000000000009,12.457,0.0286,0.09,0.078,17.343,-0.567,-0.201,17.723,13.057
Lincolnshire,E10000019,65.2,56.1,94.5,92.1,96.8,58.3,2.4000000000000057,9.100000000000001,20.609,0.1442,0.132,0.118,23.145,0.102,-0.476,23.13,21.168
Northamptonshire,E10000021,60.9,52.3,93.9,90.8,96.1,54.9,3.1000000000000085,8.600000000000001,18.936,0.1625,0.122,0.103,24.051,-0.158,-0.019,22.84,15.966
Nottingham,E06000018,49.4,42.4,88.7,85.6,91.8,45.5,3.1000000000000085,7.0,36.927,0.5572,0.225,0.165,38.751,0.857,0.672,25.76,32.133
Nottinghamshire,E10000024,65.4,57.0,95.1,92.3,96.0,59.7,2.799999999999997,8.400000000000006,18.85,0.1426,0.128,0.122,22.963,-0.019,-0.179,16.039,15.847
Rutland,E06000017,76.1,67.2,97.6,97.2,99.2,68.8,0.3999999999999915,8.899999999999991,9.621,0.0,0.064,0.058,9.747,-0.85,-0.6,27.328,14.93
Birmingham,E08000025,64.6,54.3,94.3,91.2,95.8,56.2,3.0999999999999943,10.299999999999997,37.768,0.5577,0.242,0.178,30.94,0.571,0.434,35.43,38.363
Coventry,E08000026,61.3,51.0,93.9,88.5,93.4,54.4,5.400000000000006,10.299999999999997,28.107,0.3189,0.182,0.134,25.742,0.55,0.383,23.188,30.76
Dudley,E08000027,61.8,53.0,95.5,92.3,96.4,55.3,3.200000000000003,8.799999999999997,22.958,0.2329,0.17,0.143,27.466,0.145,-0.201,14.656,22.227
"Herefordshire, County of",E06000019,64.9,57.5,94.4,91.9,95.3,60.4,2.5,7.400000000000006,19.737,0.0702,0.111,0.094,19.325,-0.328,-0.534,34.351,33.533
Sandwell,E08000028,56.5,46.9,93.7,89.8,97.0,50.0,3.9000000000000057,9.600000000000001,34.614,0.5161,0.241,0.181,37.162,0.688,0.329,23.491,30.1
Shropshire,E06000051,66.7,56.5,96.3,94.4,98.1,58.5,1.8999999999999915,10.200000000000003,16.689,0.041,0.106,0.092,17.758,-0.296,-0.591,24.495,28.298
Solihull,E08000029,70.7,60.8,96.6,94.7,97.6,62.8,1.8999999999999915,9.900000000000006,17.238,0.1711,0.122,0.106,16.813,-0.484,0.066,21.258,13.403
Staffordshire,E10000028,65.5,56.1,94.8,92.9,96.9,58.1,1.8999999999999915,9.399999999999999,16.38,0.0912,0.112,0.102,20.592,-0.106,-0.352,17.99,16.595
Stoke-on-Trent,E06000021,56.3,48.2,91.6,88.8,95.3,50.4,2.799999999999997,8.099999999999994,34.36,0.4882,0.208,0.18,39.728,0.947,0.482,16.753,24.771
Telford and Wrekin,E06000020,62.6,53.7,94.1,92.2,97.6,55.8,1.8999999999999915,8.899999999999999,24.852,0.2598,0.176,0.139,26.915,0.42,0.008,24.309,9.384
Walsall,E08000030,59.1,50.8,92.8,89.6,95.7,52.7,3.200000000000003,8.300000000000004,30.37,0.4477,0.219,0.169,36.464,0.42,0.197,19.219,22.11
Warwickshire,E10000031,69.2,60.9,95.3,92.7,96.1,62.6,2.5999999999999943,8.300000000000004,15.006,0.0598,0.102,0.087,17.029,-0.263,-0.186,20.485,18.075
Wolverhampton,E08000031,61.0,51.6,90.3,86.8,92.1,53.8,3.5,9.399999999999999,33.183,0.4921,0.238,0.187,33.243,0.538,0.272,22.065,25.574
Worcestershire,E10000034,69.7,60.7,94.8,92.8,96.2,62.3,2.0,9.0,17.704,0.1143,0.116,0.1,19.171,-0.262,-0.282,26.195,19.261
Bedford,E06000055,65.3,52.4,96.0,95.2,97.3,54.1,0.7999999999999972,12.899999999999999,19.238,0.1453,0.136,0.113,19.998,-0.218,-0.157,25.077,18.494
Cambridgeshire,E10000003,66.3,58.8,93.6,92.1,95.7,61.3,1.5,7.5,13.393,0.0433,0.091,0.075,17.263,-0.636,-0.461,23.974,16.404
Central Bedfordshire,E06000056,66.6,58.3,94.4,92.4,96.3,61.1,2.0,8.299999999999997,12.201,0.0402,0.094,0.076,17.583,-0.75,-0.185,18.658,9.927
Essex,E10000012,67.0,58.4,94.3,92.0,96.0,61.0,2.299999999999997,8.600000000000001,17.163,0.0939,0.12,0.099,23.333,-0.442,-0.068,22.636,12.796
Hertfordshire,E10000015,73.4,65.1,96.0,93.7,96.7,67.1,2.299999999999997,8.300000000000011,12.192,0.0207,0.097,0.078,14.093,-0.734,-0.409,21.876,11.637
Luton,E06000032,60.3,53.0,94.1,90.7,96.2,55.3,3.3999999999999915,7.299999999999997,27.577,0.3138,0.178,0.125,25.496,0.317,0.61,32.218,23.736
Norfolk,E10000020,64.1,54.9,94.9,92.4,96.0,57.2,2.5,9.199999999999996,21.158,0.1453,0.132,0.118,29.311,-0.039,-0.545,24.479,21.282
Peterborough,E06000031,56.1,48.5,93.0,90.2,94.9,52.7,2.799999999999997,7.600000000000001,27.659,0.3596,0.182,0.142,33.434,0.436,0.283,25.408,17.714
Southend-on-Sea,E06000033,70.3,64.7,94.4,92.8,96.2,66.4,1.6000000000000085,5.599999999999994,24.516,0.2544,0.169,0.139,26.73,0.093,0.461,16.213,24.893
Suffolk,E10000029,63.2,54.5,94.5,92.4,96.2,56.8,2.0999999999999943,8.700000000000003,18.314,0.1052,0.114,0.098,25.229,-0.297,-0.303,24.098,21.13
Thurrock,E06000034,64.5,52.9,94.0,90.5,96.5,54.4,3.5,11.600000000000001,21.603,0.1323,0.152,0.112,29.967,-0.33,0.481,22.327,16.907
Camden,E09000007,67.8,56.4,95.0,91.8,95.4,57.9,3.200000000000003,11.399999999999999,24.959,0.253,0.174,0.114,11.283,-0.023,0.506,22.469,47.717
Hackney,E09000012,69.7,60.4,94.0,90.2,93.3,61.9,3.799999999999997,9.300000000000004,35.28,0.5155,0.234,0.147,17.203,0.502,0.888,37.13,44.154
Hammersmith and Fulham,E09000013,73.6,62.6,92.4,89.6,93.4,63.5,2.8000000000000114,10.999999999999993,24.362,0.2133,0.167,0.11,9.059,0.223,0.468,25.016,43.962
Haringey,E09000014,65.5,54.6,92.6,90.2,94.8,56.7,2.3999999999999915,10.899999999999999,31.043,0.4134,0.21,0.138,18.493,0.098,0.843,34.618,38.179
Islington,E09000019,69.1,57.9,96.0,93.0,97.5,59.3,3.0,11.199999999999996,32.534,0.4186,0.217,0.141,14.567,0.519,0.917,30.375,43.83
Kensington and Chelsea,E09000020,76.6,67.2,95.6,94.5,97.5,68.4,1.0999999999999943,9.399999999999991,23.376,0.2206,0.135,0.094,6.066,-0.873,0.436,31.949,54.998
Lambeth,E09000022,67.5,56.5,95.5,91.5,96.4,58.8,4.0,11.0,28.913,0.3069,0.191,0.122,11.457,0.199,1.019,29.824,43.368
Lewisham,E09000023,62.3,51.9,93.9,89.3,94.7,54.1,4.6000000000000085,10.399999999999999,28.591,0.3141,0.2,0.134,14.956,0.207,0.761,30.446,36.001
Newham,E09000025,70.8,59.4,95.7,92.3,97.0,60.7,3.4000000000000057,11.399999999999999,32.939,0.4197,0.217,0.129,20.825,0.261,0.967,41.892,33.742
Southwark,E09000028,73.6,64.3,95.6,93.3,96.8,65.9,2.299999999999997,9.299999999999997,29.489,0.371,0.198,0.126,13.283,0.258,0.886,30.842,41.125
Tower Hamlets,E09000030,73.4,64.6,96.4,93.9,97.3,66.9,2.5,8.800000000000011,35.657,0.5738,0.253,0.138,18.831,0.543,0.762,37.748,39.823
Wandsworth,E09000032,67.9,58.2,92.7,90.0,95.0,60.6,2.700000000000003,9.700000000000003,18.295,0.0716,0.127,0.079,7.25,-0.335,0.439,24.595,38.202
Westminster,E09000033,77.5,67.5,97.9,96.0,98.7,69.1,1.9000000000000057,10.0,27.686,0.2943,0.17,0.109,8.793,-0.301,0.443,35.103,54.767
Barking and Dagenham,E09000002,66.4,54.0,95.9,92.8,97.2,55.7,3.1000000000000085,12.400000000000006,34.635,0.5271,0.242,0.156,27.182,0.373,0.907,37.618,26.539
Barnet,E09000003,78.1,70.1,96.0,94.5,97.0,71.3,1.5,8.0,17.813,0.0861,0.133,0.089,8.481,-0.727,0.393,31.025,23.929
Bexley,E09000004,70.8,55.0,94.9,85.4,90.5,56.7,9.5,15.799999999999997,16.17,0.0709,0.126,0.097,18.31,-0.639,0.071,23.637,14.349
Brent,E09000005,70.6,60.0,94.3,92.2,96.5,61.1,2.0999999999999943,10.599999999999994,26.655,0.2296,0.188,0.12,16.378,-0.227,0.627,38.073,29.343
Bromley,E09000006,74.8,68.0,95.5,93.9,96.7,70.0,1.5999999999999943,6.799999999999997,15.164,0.0986,0.112,0.088,11.508,-0.779,0.256,24.912,16.008
Croydon,E09000008,69.6,59.6,95.4,92.2,95.9,61.9,3.200000000000003,9.999999999999993,23.643,0.2138,0.162,0.115,15.661,-0.134,0.624,31.671,24.064
Ealing,E09000009,69.7,62.1,94.5,93.0,96.4,63.8,1.5,7.600000000000001,23.585,0.1949,0.166,0.109,13.205,-0.067,0.601,31.746,28.376
Enfield,E09000010,65.2,54.5,94.8,89.1,94.8,56.3,5.700000000000003,10.700000000000003,26.994,0.3196,0.21,0.132,20.709,-0.319,0.613,31.956,25.027
Greenwich,E09000011,69.3,57.7,95.4,92.6,96.2,59.0,2.8000000000000114,11.599999999999994,25.544,0.2287,0.189,0.128,16.795,0.15,0.604,27.854,24.811
Harrow,E09000015,73.2,60.5,96.8,94.5,97.3,61.6,2.299999999999997,12.700000000000003,14.302,0.0245,0.127,0.083,8.932,-0.796,0.148,25.267,15.628
Havering,E09000016,66.4,57.7,95.5,93.5,96.7,60.1,2.0,8.700000000000003,17.876,0.1003,0.132,0.103,23.089,-0.357,0.319,19.925,13.373
Hillingdon,E09000017,68.0,57.5,94.9,92.2,95.9,59.5,2.700000000000003,10.5,18.108,0.0741,0.136,0.091,16.803,-0.248,0.438,23.93,16.915
Hounslow,E09000018,75.5,65.2,96.5,94.3,96.7,66.8,2.200000000000003,10.299999999999997,22.469,0.114,0.148,0.095,14.803,-0.183,0.523,36.919,26.56
Kingston upon Thames,E09000021,80.6,73.2,96.8,94.8,96.2,75.7,2.0,7.3999999999999915,11.125,0.0132,0.088,0.061,7.36,-1.104,-0.155,22.252,25.924
Merton,E09000024,70.5,60.0,94.2,91.4,95.2,61.8,2.799999999999997,10.5,14.93,0.0446,0.116,0.077,10.377,-0.642,0.215,19.631,27.495
Redbridge,E09000026,75.5,63.4,95.8,93.7,96.4,64.2,2.0999999999999943,12.100000000000001,20.242,0.0841,0.151,0.1,11.875,-0.373,0.58,29.21,23.54
Richmond upon Thames,E09000027,74.0,64.7,94.7,92.3,96.8,65.6,2.4000000000000057,9.299999999999997,10.037,0.0084,0.073,0.057,3.958,-1.41,0.091,19.756,28.02
Sutton,E09000029,81.0,70.4,96.6,94.6,97.8,71.1,2.0,10.599999999999994,14.579,0.0606,0.111,0.086,12.576,-0.461,0.163,19.784,19.062
Waltham Forest,E09000031,67.9,57.4,95.8,92.7,96.5,59.1,3.0999999999999943,10.500000000000007,30.19,0.3252,0.193,0.128,18.693,0.124,0.86,38.435,35.439
Bracknell Forest,E06000036,69.3,58.2,96.3,94.5,96.9,61.1,1.7999999999999972,11.099999999999994,10.462,0.0031,0.082,0.066,14.846,-0.823,-0.499,24.201,4.315
Brighton and Hove,E06000043,67.5,61.0,94.0,92.2,96.5,63.2,1.7999999999999972,6.5,23.441,0.2018,0.14,0.112,19.899,0.278,0.133,25.376,34.253
Buckinghamshire,E10000002,75.1,68.9,94.9,93.4,97.1,70.8,1.5,6.199999999999989,9.757,0.0109,0.076,0.064,12.18,-1.305,-0.362,22.313,9.278
East Sussex,E10000011,65.3,56.3,93.4,90.3,96.0,58.5,3.1000000000000085,9.0,18.825,0.1232,0.131,0.116,21.674,-0.241,-0.388,22.645,18.736
Hampshire,E10000014,67.7,59.7,94.4,92.0,95.7,62.1,2.4000000000000057,8.0,11.917,0.0414,0.086,0.073,16.357,-0.666,-0.431,20.815,12.239
Isle of Wight,E06000046,55.5,47.6,92.1,89.4,95.7,51.1,2.6999999999999886,7.899999999999999,23.087,0.156,0.155,0.145,28.208,0.096,-0.373,19.207,28.007
Kent,E10000016,64.7,57.3,93.4,90.6,96.2,59.8,2.8000000000000114,7.400000000000006,18.805,0.127,0.129,0.108,21.601,-0.355,0.14,21.9,16.959
Medway,E06000035,66.6,57.8,93.8,91.0,96.6,59.6,2.799999999999997,8.799999999999997,22.332,0.1964,0.153,0.124,26.604,-0.034,0.352,18.387,21.186
Milton Keynes,E06000042,61.6,52.0,93.9,92.1,96.5,54.3,1.8000000000000114,9.600000000000001,18.029,0.1285,0.138,0.1,18.089,-0.067,0.076,25.631,5.619
Oxfordshire,E10000025,67.6,59.7,94.5,92.0,96.0,62.1,2.5,7.8999999999999915,11.513,0.035,0.08,0.062,15.61,-0.758,-0.48,22.56,15.106
Portsmouth,E06000044,58.6,50.7,89.5,86.2,92.5,52.6,3.299999999999997,7.899999999999999,27.054,0.2436,0.156,0.11,32.327,0.311,0.308,23.387,42.986
Reading,E06000038,65.0,57.5,95.2,92.7,98.8,59.6,2.5,7.5,19.319,0.1137,0.135,0.094,20.531,-0.318,0.144,23.672,27.397
Slough,E06000039,74.5,67.9,96.9,94.5,97.6,69.6,2.4000000000000057,6.599999999999994,22.873,0.1118,0.151,0.103,21.223,-0.059,0.686,28.452,24.932
Southampton,E06000045,60.7,50.6,93.3,90.6,96.3,52.3,2.700000000000003,10.100000000000001,26.878,0.2675,0.154,0.11,28.923,0.498,0.677,21.048,34.996
Surrey,E10000030,73.0,64.7,95.5,93.9,96.3,66.4,1.5999999999999943,8.299999999999997,9.386,0.007,0.07,0.06,11.608,-1.03,-0.375,20.292,13.362
West Berkshire,E06000037,71.1,62.4,97.1,94.9,97.9,63.9,2.1999999999999886,8.699999999999996,10.242,0.0106,0.076,0.064,13.751,-1.265,-0.195,22.002,11.807
West Sussex,E10000032,69.2,60.3,94.6,92.1,95.2,62.3,2.5,8.900000000000006,14.027,0.0418,0.097,0.084,18.235,-0.517,-0.328,21.771,14.708
Windsor and Maidenhead,E06000040,72.9,64.6,96.6,94.8,97.3,67.0,1.7999999999999972,8.300000000000011,8.857,0.0014,0.069,0.058,9.059,-1.314,-0.125,18.679,13.064
Wokingham,E06000041,76.0,67.8,97.4,95.3,96.5,70.0,2.1000000000000085,8.200000000000003,5.652,0.0,0.052,0.048,7.153,-1.812,-0.632,18.816,5.957
Bath and North East Somerset,E06000022,70.7,62.9,94.2,92.6,95.4,65.6,1.6000000000000085,7.800000000000004,12.094,0.0421,0.091,0.076,13.671,-0.537,-0.38,18.012,16.469
Bournemouth,E06000028,68.1,60.3,93.5,91.6,95.4,62.2,1.9000000000000057,7.799999999999997,21.847,0.1742,0.14,0.117,21.519,0.067,0.322,19.566,29.476
"Bristol, City of",E06000023,63.3,54.0,92.2,89.3,94.6,56.1,2.9000000000000057,9.299999999999997,27.161,0.2901,0.167,0.129,27.677,0.315,0.519,20.43,31.854
Cornwall,E06000052,65.2,56.8,95.8,93.1,96.0,59.8,2.700000000000003,8.400000000000006,23.833,0.1399,0.143,0.125,18.139,0.103,-0.386,28.441,42.151
Devon,E10000008,66.4,58.1,95.2,92.6,95.5,60.6,2.6000000000000085,8.300000000000004,17.086,0.0563,0.108,0.095,16.879,-0.319,-0.502,23.413,30.296
Dorset,E10000009,68.8,58.3,95.5,93.5,96.3,60.9,2.0,10.5,14.336,0.0401,0.096,0.088,17.63,-0.516,-0.608,24.496,17.463
Gloucestershire,E10000013,70.3,60.9,94.9,92.1,95.5,62.7,2.8000000000000114,9.399999999999999,15.014,0.0786,0.107,0.091,17.08,-0.419,-0.359,20.714,18.078
Isles of Scilly,E06000053,84.2,73.7,100.0,100.0,100.0,73.7,0.0,10.5,12.013,0.0,0.028,0.027,4.038,-2.191,-0.658,27.402,66.56
North Somerset,E06000024,68.3,58.8,94.5,92.5,96.8,61.0,2.0,9.5,15.783,0.1103,0.116,0.107,16.018,-0.223,-0.362,18.771,11.965
Plymouth,E06000026,60.6,51.8,93.7,91.2,95.8,54.2,2.5,8.800000000000004,26.643,0.3,0.163,0.142,24.147,0.666,0.204,19.839,26.733
Poole,E06000029,71.5,63.1,96.2,93.2,95.8,65.1,3.0,8.399999999999999,15.219,0.0615,0.112,0.089,20.23,-0.216,-0.244,20.46,14.031
Somerset,E10000027,68.0,58.6,95.7,92.7,96.5,60.6,3.0,9.399999999999999,17.783,0.0796,0.113,0.1,20.03,-0.263,-0.397,25.496,24.111
South Gloucestershire,E06000025,62.6,52.9,94.0,92.2,96.5,56.0,1.7999999999999972,9.700000000000003,11.358,0.0104,0.087,0.074,17.479,-0.857,-0.294,18.358,11.164
Swindon,E06000030,62.0,53.0,95.3,92.7,96.3,55.4,2.5999999999999943,9.0,17.857,0.1459,0.125,0.099,26.089,-0.135,0.073,17.064,13.737
Torbay,E06000027,63.9,57.3,91.3,89.1,95.1,62.0,2.200000000000003,6.600000000000001,28.788,0.3104,0.191,0.176,24.462,0.568,0.306,15.99,27.731
Wiltshire,E06000054,69.7,60.5,94.6,92.9,96.3,62.2,1.6999999999999886,9.200000000000003,13.466,0.036,0.088,0.077,17.2,-0.546,-0.446,25.78,15.064
